district,school_name,min_score
黄浦区,上海外国语大学附属大境中学,709.00
黄浦区,上海交通大学附属中学,762.50
黄浦区,复旦大学附属中学,757.50
黄浦区,华东师范大学第二附属中学,755.00
松江区,上海市上海中学,764.00
黄浦区,华东师范大学第二附属中学（普陀校区）,747.00
黄浦区,华东师范大学第一附属中学,719.50
黄浦区,华东师范大学第二附属中学闵行紫竹分校,748.00
黄浦区,上海师范大学附属中学闵行分校,720.50
黄浦区,上海大学附属中学,707.50
黄浦区,华东师范大学第二附属中学（宝山校区）,754.00
黄浦区,上海交通大学附属中学嘉定分校,747.50
黄浦区,上海市浦东复旦附中分校,748.00
黄浦区,华东师范大学第三附属中学,700.50
黄浦区,上海市格致中学（奉贤校区）,714.00
黄浦区,上海市向明中学（浦江校区）,707.50
黄浦区,上海市卢湾高级中学,709.00
黄浦区,上海市第二中学,723.50
黄浦区,上海市南洋模范中学,756.00
黄浦区,上海市位育中学,739.50
黄浦区,上海市南洋中学,728.00
黄浦区,上海市第三女子中学,709.50
黄浦区,上海市延安中学,737.00
黄浦区,上海市复旦中学,693.50
黄浦区,上海市市西中学,733.50
黄浦区,上海市进才中学,706.50
徐汇区,上海南汇中学,693.00
徐汇区,复旦大学附属中学徐汇分校,762.00
徐汇区,上海交通大学附属中学,756.50
徐汇区,复旦大学附属中学,760.50
徐汇区,华东师范大学第二附属中学,756.50
徐汇区,上海师范大学附属中学,726.50
黄浦区,上海外国语大学附属外国语学校松江云间中学,733.00
黄浦区,复旦大学附属中学青浦分校,752.50
黄浦区,上海市松江二中,743.00
黄浦区,上海市松江一中,700.50
黄浦区,上海市青浦高级中学,719.50
黄浦区,上海市朱家角中学,659.50
黄浦区,上海市奉贤中学,743.00
黄浦区,上海市崇明中学,688.50
徐汇区,上海市格致中学,740.50
徐汇区,上海市大同中学,731.00
徐汇区,上海市向明中学,724.50
徐汇区,上海市光明中学,696.00
徐汇区,上海市敬业中学,711.50
徐汇区,上海市卢湾高级中学,708.50
徐汇区,上海市第二中学,727.50
徐汇区,上海市第二中学（梅陇校区）,725.50
徐汇区,上海市南洋模范中学,758.50
徐汇区,上海市第三女子中学,725.00
徐汇区,上海市延安中学,748.00
徐汇区,上海市复旦中学,727.00
徐汇区,上海市市西中学,715.00
徐汇区,上海市进才中学,713.00
徐汇区,上海市新中高级中学,721.00
长宁区,上海南汇中学,681.50
长宁区,上海交通大学附属中学,756.50
长宁区,复旦大学附属中学,758.00
长宁区,华东师范大学第二附属中学,755.00
长宁区,上海师范大学附属中学,734.00
徐汇区,华东师范大学第二附属中学松江分校,742.50
徐汇区,上海师范大学附属中学松江分校,705.00
徐汇区,上海市松江二中,738.00
徐汇区,上海市松江一中,717.00
徐汇区,上海市青浦高级中学,719.50
徐汇区,上海市朱家角中学,687.50
徐汇区,上海市奉贤中学,727.00
徐汇区,上海市崇明中学,706.50
长宁区,上海市格致中学,727.00
长宁区,上海市向明中学,721.50
长宁区,上海市光明中学,691.50
长宁区,上海市第二中学,715.50
长宁区,上海市南洋模范中学,751.00
长宁区,上海市位育中学,733.50
长宁区,上海市南洋中学,686.50
长宁区,上海市第三女子中学,718.00
长宁区,上海市市西中学,733.00
长宁区,上海市进才中学,725.50
长宁区,上海市新中高级中学,706.00
长宁区,上海市市北中学,715.00
长宁区,上海市回民中学,670.00
长宁区,上海市第六十中学,690.00
长宁区,上海市华东模范中学,682.00
长宁区,上海市晋元高级中学,728.00
长宁区,上海市曹杨第二中学,742.50
长宁区,上海市宜川中学,713.00
静安区,上海南汇中学,699.00
静安区,上海交通大学附属中学,750.00
静安区,复旦大学附属中学,758.50
静安区,华东师范大学第二附属中学,744.00
长宁区,上海外国语大学附属外国语学校松江云间中学,734.00
长宁区,复旦大学附属中学青浦分校,753.00
长宁区,华东师范大学第二附属中学临港奉贤分校,726.00
长宁区,上海市青浦高级中学,709.50
长宁区,上海市朱家角中学,681.00
长宁区,上海市奉贤中学,732.50
长宁区,上海市崇明中学,680.50
静安区,上海市格致中学,744.00
静安区,上海市大同中学,740.00
静安区,上海市向明中学,730.00
静安区,上海市光明中学,710.50
静安区,上海市敬业中学,708.00
静安区,上海市第二中学,724.00
静安区,上海市南洋模范中学,743.50
静安区,上海市位育中学,739.00
静安区,上海市南洋中学,705.00
静安区,上海市第三女子中学,715.00
静安区,上海市延安中学,740.50
静安区,上海市复旦中学,713.00
静安区,上海市进才中学,718.50
静安区,上海市新中高级中学,716.00
静安区,上海市第六十中学,689.50
静安区,上海市华东模范中学,674.00
静安区,上海市晋元高级中学,733.50
静安区,上海市曹杨第二中学,749.00
静安区,上海市宜川中学,719.50
静安区,上海市杨浦高级中学,721.00
静安区,上海市控江中学,742.00
普陀区,上海南汇中学,703.00
普陀区,华东师范大学第二附属中学（普陀校区）,760.50
普陀区,上海交通大学附属中学,756.50
普陀区,复旦大学附属中学,762.00
普陀区,华东师范大学第二附属中学,756.50
普陀区,上海师范大学附属中学,726.50
静安区,上海外国语大学附属外国语学校松江云间中学,732.00
静安区,上海市松江一中,696.00
静安区,上海市青浦高级中学,701.00
静安区,上海市朱家角中学,683.00
静安区,上海市奉贤中学,726.00
静安区,上海市崇明中学,702.00
普陀区,上海市格致中学,738.00
普陀区,上海市大同中学,732.50
普陀区,上海市向明中学,728.50
普陀区,上海市光明中学,706.50
普陀区,上海市敬业中学,711.00
普陀区,上海市第二中学,727.00
普陀区,上海市南洋模范中学,752.50
普陀区,上海市位育中学,743.00
