year,school_code,district,quota_count
2026,012011,黄浦区,5
2026,042032,黄浦区,8
2026,102056,黄浦区,10
2026,102057,黄浦区,10
2026,152003,黄浦区,11
2026,042001,黄浦区,6
2026,042008,黄浦区,8
2026,042035,黄浦区,3
2026,043015,黄浦区,4
2026,052001,黄浦区,5
2026,052002,黄浦区,3
2026,053004,黄浦区,2
2026,062001,黄浦区,6
2026,062002,黄浦区,2
2026,062004,黄浦区,5
2026,062011,黄浦区,2
2026,063004,黄浦区,3
2026,064001,黄浦区,2
2026,072002,黄浦区,2
2026,073003,黄浦区,5
2026,073082,黄浦区,5
2026,092002,黄浦区,2
2026,102032,黄浦区,8
2026,122001,黄浦区,5
2026,123001,黄浦区,2
2026,122002,黄浦区,2
2026,122003,黄浦区,5
2026,132001,黄浦区,4
2026,132002,黄浦区,2
2026,132003,黄浦区,2
2026,133003,黄浦区,5
2026,142001,黄浦区,5
2026,142002,黄浦区,6
2026,152001,黄浦区,11
2026,152002,黄浦区,7
2026,152004,黄浦区,6
2026,153001,黄浦区,8
2026,153004,黄浦区,2
2026,153005,黄浦区,8
2026,152005,黄浦区,12
2026,162000,黄浦区,1
2026,163002,黄浦区,3
2026,172001,黄浦区,3
2026,173001,黄浦区,5
2026,174003,黄浦区,2
2026,182001,黄浦区,2
2026,183002,黄浦区,3
2026,182002,黄浦区,3
2026,202001,黄浦区,2
2026,202002,黄浦区,6
2026,512000,黄浦区,2
2026,042032,徐汇区,93
2026,102056,徐汇区,22
2026,102057,徐汇区,18
2026,152003,徐汇区,20
2026,152006,徐汇区,25
2026,012001,徐汇区,4
2026,012003,徐汇区,14
2026,012005,徐汇区,8
2026,012007,徐汇区,5
2026,012008,徐汇区,3
2026,012009,徐汇区,3
2026,012010,徐汇区,13
2026,012011,徐汇区,5
2026,052001,徐汇区,5
2026,052002,徐汇区,7
2026,053004,徐汇区,5
2026,062001,徐汇区,6
2026,062002,徐汇区,6
2026,062003,徐汇区,4
