id,code,full_name,short_name,district,school_type_id,school_nature_id
4,152003,华东师范大学第二附属中学,华二,上海市,CITY_MODEL,PUBLIC
2,102056,上海交通大学附属中学,交大附中,上海市,CITY_MODEL,PUBLIC
254,172002,华东师范大学第二附属中学松江分校,华二松江,松江区,CITY_POLICY,PUBLIC
282,202002,华东师范大学第二附属中学临港奉贤分校,华二奉贤,奉贤区,CITY_POLICY,PUBLIC
255,172004,上海师范大学附属中学松江分校,上师大松江,松江区,CITY_POLICY,PUBLIC
196,153001,上海市洋泾中学,洋泾中学,浦东新区,CITY_MODEL,PUBLIC
194,152002,上海市进才中学,进才中学,浦东新区,CITY_MODEL,PUBLIC
291,514001,上海市崇明区城桥中学,城桥中学,崇明区,CITY_FEATURED,PUBLIC
247,164000,华东师范大学附属枫泾中学,枫泾中学,金山区,CITY_FEATURED,PUBLIC
193,152001,上海市建平中学,建平中学,浦东新区,CITY_MODEL,PUBLIC
