类别,说明
到校-校区分配,徐汇区|上海市第二初级中学|上海市第二中学|736 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市第二初级中学|上海市第二中学|742 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市南洋初级中学|上海市第二中学|726.5 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市南洋初级中学|上海市第二中学|731 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市田林中学|上海市第二中学|730.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市田林中学|上海市第二中学|727 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市田林第二中学|上海市第二中学|738 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市田林第二中学|上海市第二中学|724 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市田林第三中学|上海市第二中学|746.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市徐汇区教育学院附属实验中学|上海市第二中学|723.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市徐汇区教育学院附属实验中学|上海市第二中学|741 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市徐汇区教育学院附属实验中学南部分校|上海市第二中学|723.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市徐汇区教育学院附属实验中学南部分校|上海市第二中学|738.5 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市园南中学|上海市第二中学|735 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市园南中学|上海市第二中学|743.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市梅园中学|上海市第二中学|725 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市梅园中学|上海市第二中学|737.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市紫阳中学|上海市第二中学|729 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市紫阳中学|上海市第二中学|739 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市康健外国语实验中学|上海市第二中学|736.5 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市康健外国语实验中学|上海市第二中学|746 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市世外中学|上海市第二中学|733.5 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市世外中学|上海市第二中学|738 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市民办华育中学|上海市第二中学|698.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市民办华育中学|上海市第二中学|734.5 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市中国中学|上海市第二中学|728.5 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市中国中学|上海市第二中学|740 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市第五十四中学|上海市第二中学|748 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市第五十四中学|上海市第二中学|734 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市第四中学|上海市第二中学|732.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市第四中学|上海市第二中学|720 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市零陵中学|上海市第二中学|730.5 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市零陵中学|上海市第二中学|732.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|华东理工大学附属中学|上海市第二中学|731 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|华东理工大学附属中学|上海市第二中学|734.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市西南位育中学|上海市第二中学|726 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市西南位育中学|华东师范大学第二附属中学|760.5 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,徐汇区|上海市西南模范中学|上海市第二中学|735 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市西南模范中学|上海市第二中学|748 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市西南模范中学|华东师范大学第二附属中学|766 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,徐汇区|上海民办位育中学|上海市第二中学|720 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海民办位育中学|上海市第二中学|739 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海民办南模中学|上海市第二中学|738 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海民办南模中学|上海市第二中学|715 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海市位育实验学校|上海市第二中学|736.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市徐汇区上汇实验学校|上海市第二中学|726 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海市徐汇区上汇实验学校|上海市第二中学|746.5 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海师范大学第三附属实验学校|上海市第二中学|736.5 -> 上海市第二中学（梅陇校区）(042002)
到校-校区分配,徐汇区|上海师范大学第三附属实验学校|上海市第二中学|743.5 -> 上海市第二中学(042001)
到校-校区分配,徐汇区|上海师范大学第三附属实验学校|华东师范大学第二附属中学|766 -> 华东师范大学第二附属中学（宝山校区）(133003)
到校-校区分配,普陀区|上海市洵阳中学|华东师范大学第二附属中学|760 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市北海中学|华东师范大学第二附属中学|759.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市延河中学|华东师范大学第二附属中学|759.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市曹杨第二中学附属实验中学|华东师范大学第二附属中学|750.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市怒江中学|华东师范大学第二附属中学|761 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海师范大学附属第二实验学校|华东师范大学第二附属中学|761 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市真北中学|华东师范大学第二附属中学|764 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市普陀区教育学院附属中学|华东师范大学第二附属中学|756.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海市梅陇中学|华东师范大学第二附属中学|761.5 -> 华东师范大学第二附属中学（普陀校区）(073082)
到校-校区分配,普陀区|上海兰田中学|华东师范大学第二附属中学|769 -> 华东师范大学第二附属中学（普陀校区）(073082)
