年份,区域,初中学校,高中学校,录取分数线
2024,宝山,上海市宝山区陈伯吹罗店实验学校,,692.5
2024,宝山,上海市宝山区陈伯吹罗店实验学校,,705
2024,崇明,初中学校,,录取最低分     (含学业考总成绩和综合素质评价成绩)
2024,崇明,上海市崇明区三星中学,,679.5
2024,崇明,上海市崇明区三星中学,,666.5
2024,崇明,上海市崇明区建设中学,,710.5
2024,崇明,上海市崇明区建设中学,,717
2024,崇明,上海市崇明区合兴中学,,687.5
2024,崇明,上海市崇明区合兴中学,,718
2024,崇明,上海市崇明区向化中学,,663.5
2024,崇明,上海市崇明区向化中学,,706.5
2024,崇明,上海市崇明区崇东中学,,662
2024,崇明,上海市崇明区崇东中学,,703
2024,崇明,上海市崇明区裕安中学,,694.5
2024,崇明,上海市崇明区裕安中学,,703
2024,崇明,上海市崇明区实验中学,,694
2024,崇明,上海市崇明区实验中学,,697.5
2024,崇明,上海市崇明中学附属东门中学,,695.5
2024,崇明,上海市崇明中学附属东门中学,,717.5
2024,崇明,上海市崇明区城桥中学附属明志初级中学,,733
2024,崇明,上海市崇明区城桥中学附属明志初级中学,,673.5
2024,崇明,上海市崇明区城桥中学附属明志初级中学,,675
2024,崇明,上海市崇明区长兴中学,,686.5
2024,崇明,上海市崇明区长兴中学,,683.5
2024,崇明,上海市崇明区长明中学,,662
2024,崇明,上海市崇明区长明中学,,691
2024,崇明,上海师范大学附属崇明正大中学,,747.5
2024,崇明,上海师范大学附属崇明正大中学,,682.5
