年份,批次,区名称,招生学校,录取最低分,是否同分优待
2025,名额分配到区,杨浦区,上海南汇中学,708.5,否
2025,名额分配到区,杨浦区,上海市浦东复旦附中分校,752.5,否
2025,名额分配到区,杨浦区,上海市洋泾中学,719.5,否
2025,名额分配到区,杨浦区,上海市高桥中学,711.5,否
2025,名额分配到区,杨浦区,上海市川沙中学,721,否
2025,名额分配到区,杨浦区,上海市金山中学,730.5,否
2025,名额分配到区,杨浦区,华东师范大学第三附属中学,697.5,否
2025,名额分配到区,杨浦区,上海市松江二中,740.5,否
2025,名额分配到区,杨浦区,华东师范大学第二附属中学松江分校,754,否
2025,名额分配到区,杨浦区,上海市松江一中,720,否
2025,名额分配到区,杨浦区,上海外国语大学附属外国语学校松江云间中学,738.5,否
2025,名额分配到区,杨浦区,上海市青浦高级中学,725,否
2025,名额分配到区,杨浦区,复旦大学附属中学青浦分校,757,否
2025,名额分配到区,杨浦区,上海市朱家角中学,685.5,否
2025,名额分配到区,杨浦区,上海市奉贤中学,734.5,否
2025,名额分配到区,杨浦区,华东师范大学第二附属中学临港奉贤分校,737.5,否
2025,名额分配到区,杨浦区,上海市崇明中学,702.5,否
2025,名额分配到区,杨浦区,上海市实验学校东滩高级中学,712.5,否
2025,名额分配到区,闵行区,上海市格致中学,744,否
2025,名额分配到区,闵行区,上海市大同中学,729.5,否
2025,名额分配到区,闵行区,上海市向明中学（浦江校区）,723.5,否
2025,名额分配到区,闵行区,上海外国语大学附属大境中学,694.5,否
2025,名额分配到区,闵行区,上海市光明中学,705.5,否
2025,名额分配到区,闵行区,院,709,否
2025,名额分配到区,闵行区,上海市卢湾高级中学,706.5,否
2025,名额分配到区,闵行区,上海市第二中学（梅陇校区）,735,否
2025,名额分配到区,闵行区,上海市上海中学,763,否
