2026 年上海中考 名额分配到区 招生录取最低分数线（按接收区）,,,,,,,,,
,,,,,,,,,
接收区,招生学校,隶属区,办学性质,录取最低分,语数外,数学,语文,综合测试,是否同分优待
崇明区,上海市进才中学,,,721,384,124,120,142,否
崇明区,华东师范大学第二附属中学,,,764.5,421.5,141,132,145,否
崇明区,上海南汇中学,,,709,382,113,127,130,否
崇明区,上海市洋泾中学,,,722.5,394,120,129,132,否
崇明区,上海市高桥中学,,,696,378,128,117,127,否
崇明区,上海市川沙中学,,,702,381,126,115,128,否
崇明区,华东师范大学第三附属中学,,,701,376,118,121,133,否
崇明区,上海市松江一中,,,684,368,117,120,127,否
崇明区,上海外国语大学附属外国语学校松江云间中学,,,697,376,123,118,126,否
崇明区,上海市青浦高级中学,,,709.5,387,131,123,134,否
崇明区,上海市朱家角中学,,,693,369,111,119,135,否
崇明区,上海市奉贤中学,,,743,409,132,131,142,否
崇明区,上海市崇明中学,,,740,413,133,133,134,否
崇明区,上海市实验学校东滩高级中学,,,739.5,398.5,140,119,145,否
徐汇区,上海市格致中学,,,745.5,403.5,126,133,146,否
徐汇区,上海市大同中学,,,747,410,144,126,143,否
徐汇区,上海市向明中学,,,741.5,403.5,134,127,138,否
徐汇区,上海外国语大学附属大境中学,,,726,387,122,124,143,否
徐汇区,上海市光明中学,,,716,397,124,129,127,否
徐汇区,上海市敬业中学,,,729.5,393.5,126,125,139,否
徐汇区,上海市卢湾高级中学,,,717,394,127,124,134,否
徐汇区,同济大学科技中学,,,760,420.5,141,136,146,否
徐汇区,上海市第二中学,,,739.5,403,144,121,142,否
徐汇区,上海市第二中学,,,738.5,402.5,131,127,140,否
徐汇区,上海市南洋模范中学,,,765.5,422.5,142,135,146,否
徐汇区,上海市上海中学,,,767,423,146,130,147,否
徐汇区,上海市位育中学,,,753,418,138,133,141,否
徐汇区,复旦大学附属中学徐汇分校,,,766,421,147,131,147,否
徐汇区,上海市南洋中学,,,735,399.5,136,123,144,否
徐汇区,上海市第三女子中学,,,728,394,126,126,141,否
徐汇区,上海市延安中学,,,747.5,412.5,140,125,140,否
徐汇区,上海市复旦中学,,,728.5,401.5,139,120,132,否
徐汇区,上海市市西中学,,,747,415,135,135,139,否
徐汇区,上海市育才中学,,,730.5,395.5,126,130,140,否
徐汇区,上海市新中高级中学,,,676.5,364.5,119,112,130,否
徐汇区,上海市市北中学,,,744,401,142,118,147,否
徐汇区,上海市回民中学,,,690.5,369.5,110,125,124,否
徐汇区,上海市第六十中学,,,703,375,124,116,134,否
徐汇区,上海市华东模范中学,,,712.5,387.5,116,131,133,否
徐汇区,上海市曹杨第二中学,,,755,414,135,135,146,否
徐汇区,上海市宜川中学,,,719,389,121,129,133,否
徐汇区,华东师范大学第二附属中学,,,763,425,145,135,140,否
徐汇区,上海财经大学附属北郊高级中学,,,699.5,375.5,126,114,133,否
徐汇区,上海市杨浦高级中学,,,736.5,411.5,145,122,134,否
徐汇区,上海市控江中学,,,746,411,134,131,142,否
徐汇区,上海交通大学附属中学,,,767.5,428.5,143,136,145,否
徐汇区,复旦大学附属中学,,,764,421,148,129,149,否
徐汇区,上海市七宝中学,,,761,414,135,135,148,否
徐汇区,华东师范大学第二附属中学闵行紫竹分校,,,757,418,146,126,143,否
徐汇区,上海师范大学附属中学闵行分校,,,738.5,410.5,139,126,137,否
徐汇区,上海交通大学附属中学闵行分校,,,763,425,143,136,142,否
徐汇区,上海市闵行中学,,,728.5,398.5,134,122,136,否
徐汇区,上海市行知中学,,,756,417,146,126,145,否
徐汇区,上海大学附属中学,,,722,397,122,133,132,否
徐汇区,上海师范大学附属中学宝山分校,,,734.5,402.5,128,127,139,否
徐汇区,上海市吴淞中学,,,699,378.5,118,118,125,否
徐汇区,华东师范大学第二附属中学,,,750,412.5,140,127,146,否
徐汇区,上海市嘉定区第一中学,,,717,385,133,119,139,否
徐汇区,上海交通大学附属中学嘉定分校,,,758,422,147,127,143,否
徐汇区,上海师范大学附属中学嘉定新城分校,,,723,402,136,125,133,否
徐汇区,上海中学东校,,,745,411,138,128,139,否
徐汇区,上海市建平中学,,,753,412,144,128,143,否
徐汇区,上海市进才中学,,,752.5,413.5,142,131,144,否
徐汇区,华东师范大学第二附属中学,,,756.5,417.5,146,126,146,否
徐汇区,上海南汇中学,,,714,386,130,119,133,否
徐汇区,上海市浦东复旦附中分校,,,762,421,142,131,144,否
徐汇区,上海师范大学附属中学,,,746,406,131,130,143,否
徐汇区,上海市洋泾中学,,,734,407,137,132,133,否
徐汇区,上海市高桥中学,,,700.5,382.5,117,123,123,否
