各初中学校排行榜（分区分榜）— 区内排名为主,,,,,,,,,,,,,,
"排名方法：
· 榜A 生源强度：对每所市重，在该校『名额到校录取线』的初中间计算标准分 z=(分-均值)/标准差（区内池与全市池各算一次）；某校生源强度指数=其所有市重 z 的均值。z 分消除了市重难度差异，全量覆盖全部拿到到校名额的初中。
· 榜B 高分产出：按『700+占比%(推算)』（700+人数÷推算考生数）区内排名（仅民间统计到的学校有值）。
· 榜D 声誉口碑：来自网页可检索的公开排名/口碑汇总（机构公众号、家长论坛、百度百家号等），逐校标注来源，属主观判断、仅供参考；本项目内数据不完整，故排名不能只靠 A/B。
· 综合得分(数据+声誉)：区内将 A、B、D 各自归一化到 0–100 后加权合成（A:B:D=2:1.5:6.5，声誉主导），因项目内『名额到校录取线/700+』对自招强校易失真（尖子走四校自招、到校线反而低），故以公开口碑为主、数据为辅；凡校名可匹配到声誉数据者即用此式（缺 A/B 的维度取中性 50，数据不完整不惩罚）；无声誉数据者回退到原 A:B=6:4 数据综合，并标『声誉待补』。
· 区内排名为本表主排序（同区共用同一批市重名额池，最可比）；全市排名为跨区全局 z，仅供参考、不宜跨区比高低。
· 口径：到校录取线为 800 制（含综评50），仅在校内/校际的到校线之间比较，不混入平行志愿 750 制。推算考生数与 700+ 均为推算/民间值，声誉为主观口碑，见『数据完整度』列。",,,,,,,,,,,,,,
区,初中学校,推算考生数(人),到校名额合计,生源强度(榜A·区内z),700+人数,700+占比%(推算),声誉口碑(榜D),声誉来源/梯队,综合得分(数据+声誉),区内排名A,区内排名B,区内排名(综合),全市排名A,数据完整度
黄浦区,康德双语实验学校,29,7,-3.421,,,,,20,22,,22,645,全量(仅A)·声誉待补
徐汇区,上海市徐汇区上汇实验学校,107,11,0.453,25,23.4,92,第一梯队｜机构公众号梯队列,94.2,6,2,1,295,双覆盖·含声誉
徐汇区,上海市世外中学,370,38,0.226,,,92,第一梯队｜机构公众号梯队列,89.1,13,,2,210,全量(仅A)·含声誉
徐汇区,上海民办南模中学,136,14,0.164,40,29.4,,,88.8,15,1,3,387,双覆盖·声誉待补
徐汇区,上海市民办华育中学,370,38,-0.624,,,92,第一梯队｜机构公众号梯队列,85.2,27,,4,543,全量(仅A)·含声誉
徐汇区,上海市第五十四中学,136,14,0.665,,,,,75.6,3,,5,127,全量(仅A)·声誉待补
徐汇区,上海市徐汇中学,536,55,0.439,,,,,72.5,7,,6,317,全量(仅A)·声誉待补
徐汇区,上海市位育实验学校,107,11,0.433,,,,,72.5,8,,7,263,全量(仅A)·声誉待补
徐汇区,上海民办位育中学,136,14,0.13,,,,,68.3,16,,8,371,全量(仅A)·声誉待补
徐汇区,上海市徐汇区教育学院附属实验中学南部分校,175,18,0.122,,,,,68.2,17,,9,397,全量(仅A)·声誉待补
徐汇区,上海市第二初级中学,234,24,0.299,30,12.8,,,66,12,4,10,218,双覆盖·声誉待补
徐汇区,上海市田林第二中学,175,18,-0.071,,,,,65.6,19,,11,414,全量(仅A)·声誉待补
徐汇区,上海市紫阳中学,243,25,0.169,30,12.3,,,63.4,14,5,12,314,双覆盖·声誉待补
徐汇区,上海市梅园中学,136,14,-0.365,,,,,61.6,22,,13,482,全量(仅A)·声誉待补
