2026 年上海中考 1-15志愿（平行志愿）统一招生录取最低分数线,,,,,,,,,,
,,,,,,,,,,
区,招生代码,招生学校,录取最低分,语数外,数学,语文,综合测试,是否同分优待,备注,
奉贤区,164008,上海市民办永昌中学,565.5,318.5,103,114,110,否,,
奉贤区,165004,上海金山区世外学校,624,360,111,120,123,否,,
奉贤区,173005,上海市松江区励滕高级中学,,,,,,,未录满,
奉贤区,175018,上海市西外外国语学校,532.5,286.5,76,113,103,否,未录满,
奉贤区,175024,上海赫贤学校,629,369,113,119,123,否,,
奉贤区,175025,上海松江区爱菊学校,531,302,82,111,103,否,,
奉贤区,184006,上海青浦区世外高级中学,509,275,103,103,98,否,,
奉贤区,185014,上海青浦区协和双语学校,,,,,,,未录满,
奉贤区,201004,上海市奉贤中学附属南桥中学,657.5,383.5,111,128,130,否,,
奉贤区,514001,上海市崇明区城桥中学,559.5,328.5,88,107,104,否,,
奉贤区,514004,上海市崇明区堡镇中学,624,370,110,120,128,否,,
奉贤区,514010,上海民办民一中学,544,296,87,121,112,否,,
奉贤区,514014,上海新纪元双语学校,,,,,,,未录满,
宝山区,,华东师范大学第二附属中学宝山校区,704.5,,,,,,部分提取·头部校,
宝山区,,上海市行知中学,695.0,,,,,,部分提取·头部校,
宝山区,,上海师范大学附属中学宝山分校,691.0,,,,,,部分提取·头部校,
宝山区,,上海市吴淞中学,681.5,,,,,,部分提取·头部校,
宝山区,,上海大学附属中学,678.0,,,,,,部分提取·头部校,
宝山区,,上海师范大学附属罗店中学,659.5,,,,,,部分提取·头部校,
崇明区,42032,上海市上海中学,705.5,416.5,142,130,141,,,
崇明区,64020,上海田家炳中学,648.5,373.5,135,124,135,,,
崇明区,69004,上海戏剧学院附属高级中学,596,,,,,,无考生录取,
崇明区,74081,上海安生学校,,,,,,,无考生录取,
崇明区,79016,上海音乐学院附属安师实验中学,567,332,99,119,98,,,
崇明区,102056,上海交通大学附属中学,705,416,143,130,145,,,
崇明区,102057,复旦大学附属中学,711.5,422.5,139,140,143,,,
崇明区,134010,上海民办行中中学,487.5,281.5,98,105,82,,未录满,
崇明区,134012,上海存志高级中学,654.5,380.5,109,126,135,,,
崇明区,134014,上海创艺高级中学,,,,,,,无考生录取,
崇明区,134015,上海市宝山华曜高级中学,543.5,322.5,112,89,102,,未录满,
崇明区,152003,华东师范大学第二附属中学,704.5,419.5,143,132,140,,,
崇明区,154039,上海市民办丰华高级中学,,,,,,,无考生录取,
崇明区,155043,上海市民办尚德实验学校,643,365,138,119,136,,,
崇明区,173005,上海市松江区励滕高级中学,,,,,,,无考生录取,
崇明区,175018,上海市西外外国语学校,,,,,,,无考生录取,
崇明区,175024,上海赫贤学校,,,,,,,无考生录取,
崇明区,175025,上海松江区爱菊学校,,,,,,,无考生录取,
崇明区,185014,上海青浦区协和双语学校,,,,,,,无考生录取,
崇明区,204020,上海美达菲双语高级中学,,,,,,,无考生录取,
崇明区,512000,上海市崇明中学,655.5,395,132,126,125,,,
崇明区,512001,上海市实验学校东滩高级中学,661,391.5,131,120,127,,,
崇明区,513001,上海市崇明区民本中学,594,350.5,100,113,108,,,
崇明区,513009,上海市扬子中学,585,323,121,115,123,,,
崇明区,514001,上海市崇明区城桥中学,524.5,311.5,88,108,89,,,
崇明区,514004,上海市崇明区堡镇中学,522,285,98,104,102,,,
崇明区,514010,上海民办民一中学,441.5,228,40,100,82,,未录满,
崇明区,514013,上海市崇明区横沙中学,505,262,102,99,116,,,
崇明区,514014,上海新纪元双语学校,464.5,236.5,67,98,94,,未录满,
徐汇区,,上海市第二中学,689.5,402.5,133,124,149,否,,
徐汇区,,上海市第二中学,697,407,137,124,145,否,,
徐汇区,,上海市南洋模范中学,705,411,142,126,149,否,,
徐汇区,,上海市上海中学,716,424,149,129,144,否,,
徐汇区,,上海市位育中学,700,406,134,126,146,否,,
徐汇区,,复旦大学附属中学徐汇分校,711,426,141,139,144,否,,
徐汇区,,上海市南洋中学,685.5,400.5,138,122,141,否,,
徐汇区,,上海市民办西南高级中学,559,314.5,115,119,107,否,,
徐汇区,,上海市位育附属徐汇科技实验中学,690,402,132,125,140,否,,
徐汇区,,上海市中国中学,663.5,387.5,115,127,133,否,,
徐汇区,,上海市第五十四中学,644,367.5,108,125,133,否,,
徐汇区,,上海市徐汇中学,674,399.5,129,127,130,否,,
徐汇区,,上海市第四中学,653.5,382.5,119,125,130,否,,
徐汇区,,上海市零陵中学,638,371.5,117,119,126,否,,
徐汇区,,华东理工大学附属中学,628.5,356.5,113,119,133,否,,
徐汇区,,上海市西南位育中学,671,395,126,131,135,否,,
徐汇区,,上海市西南模范中学,613.5,364.5,104,121,119,否,,
徐汇区,,上海民办位育中学,658.5,384.5,117,122,133,否,,
徐汇区,,上海市紫竹园中学,607,344.5,109,118,122,否,,
徐汇区,,上海市徐汇区董恒甫高级中学,600,355,116,116,111,否,,
徐汇区,,上海交通大学附属中学,716,420,146,127,148,否,,
徐汇区,,复旦大学附属中学,715.5,422.5,141,134,147,否,,
徐汇区,,华东师范大学第二附属中学,715.5,423.5,146,131,146,否,,
徐汇区,,上海师范大学附属中学,701,414,134,133,143,否,,
徐汇区,,上海市同济黄浦设计创意中学,637,359,116,121,136,否,,
徐汇区,,上海市久隆模范中学,,,,,,,线上无人投档,
徐汇区,,上海市民办扬波中学,609.5,354.5,133,118,120,否,,
徐汇区,,上海市民办风范中学,552.5,322.5,108,106,97,否,,
徐汇区,,上海戏剧学院附属高级中学,615.5,355.5,117,108,118,否,,
徐汇区,,上海安生学校,539.5,299.5,71,117,107,否,未录满,
徐汇区,,上海音乐学院附属安师实验中学,643.5,366.5,115,119,132,否,未录满,
