id,name,short_name,district
88,上海市民办华育中学,上海市民办华,徐汇区
525,上海市实验学校东校,上海市实验学,浦东新区
68,中山学校,中山学校,黄浦区
420,上海嘉定区民办华盛怀少学校,上海嘉定区民,嘉定区
240,上海市控江初级中学,上海市控江初,杨浦区
350,上海市盛桥中学,上海市盛桥中,宝山区
248,上海音乐学院实验学校,上海音乐学院,杨浦区
57,尚文中学,尚文中学,黄浦区
94,上海市零陵中学,上海市零陵中,徐汇区
446,上海市杨园中学,上海市杨园中,浦东新区
123,上海市时代中学,上海市时代中,静安区
149,上海市民办新和中学,上海市民办新,静安区
629,上海市青浦区华新中学,上海市青浦区,青浦区
600,上海市松江区五厍学校,上海市松江区,松江区
182,上海市子长学校,上海市子长学,普陀区
425,上海市上南中学东校,上海市上南中,浦东新区
542,上海中医药大学附属浦东鹤沙学校（原上海市下沙学校）,上海中医药大,浦东新区
454,上海市致远中学,上海市致远中,浦东新区
361,上海大学附属学校,上海大学附属,宝山区
713,上海市崇明区三星中学,,崇明区
692,上海市崇明区三星中学,上海市崇明区,崇明区
97,上海市西南位育中学,上海市西南位,徐汇区
422,上海市进才中学北校,上海市进才中,浦东新区
472,上海市傅雷中学,上海市傅雷中,浦东新区
463,上海市杨思中学,上海市杨思中,浦东新区
597,上海市松江区民乐学校,上海市松江区,松江区
595,上海市松江区古松学校,上海市松江区,松江区
356,上海市吴淞实验学校,上海市吴淞实,宝山区
575,上海市金卫中学,上海市金卫中,金山区
561,上海市漕泾中学,上海市漕泾中,金山区
573,上海市金山实验中学,上海市金山实,金山区
544,上海市民办尚德实验学校,上海市民办尚,浦东新区
684,上海市奉贤区邵厂学校,上海市奉贤区,奉贤区
338,上海市罗南中学,上海市罗南中,宝山区
631,上海市青浦区珠溪中学,上海市青浦区,青浦区
82,上海市园南中学,上海市园南中,徐汇区
584,上海市松江四中初级中学,上海市松江四,松江区
611,上海外国语大学松江外国语学校,上海外国语大,松江区
256,复旦大学第二附属学校,复旦大学第二,杨浦区
370,上海市宝山区行知外国语学校,上海市宝山区,宝山区
104,上海市天山第二中学,上海市天山第,长宁区
725,上海市崇明区大新中学,,崇明区
169,同济大学第二附属中学,同济大学第二,普陀区
705,上海市崇明区大新中学,上海市崇明区,崇明区
718,上海市崇明区裕安中学,,崇明区
697,上海市崇明区裕安中学,上海市崇明区,崇明区
461,上海市新云台中学,上海市新云台,浦东新区
340,上海市宝山区高境镇第三中学,上海市宝山区,宝山区
245,上海市长阳实验学校,上海市长阳实,杨浦区
307,上海世外教育附属浦江外国语学校,上海世外教育,闵行区
119,上海市仙霞高级中学,上海市仙霞高,长宁区
559,上海市松隐中学,上海市松隐中,金山区
626,上海市青浦区凤溪中学,上海市青浦区,青浦区
28,上海外国语大学嘉定外国语学校,,嘉定区
413,上海外国语大学嘉定外国语学校,上海外国语大,嘉定区
108,上海市延安实验初级中学,上海市延安实,长宁区
306,上海市闵行区华漕学校,上海市闵行区,闵行区
685,上海市奉贤区弘文学校,上海市奉贤区,奉贤区
465,上海市建平香梅中学,上海市建平香,浦东新区
367,上海市宝山区庙行实验学校,上海市宝山区,宝山区
302,上海市莘城学校,上海市莘城学,闵行区
196,上海市万里城实验学校,上海市万里城,普陀区
633,上海市青浦区颜安中学,上海市青浦区,青浦区
158,上海市北海中学,上海市北海中,普陀区
87,上海市世外中学,上海市世外中,徐汇区
92,徐汇南校,徐汇南校,徐汇区
612,上海市松江区新浜学校,上海市松江区,松江区
602,上海市松江区仓桥学校,上海市松江区,松江区
616,上海市松江区新闵学校,上海市松江区,松江区
27,上海市嘉定区娄塘学校,,嘉定区
412,上海市嘉定区娄塘学校,上海市嘉定区,嘉定区
677,上海市奉贤区邬桥学校,上海市奉贤区,奉贤区
353,上海市民办锦秋学校,上海市民办锦,宝山区
355,上海市宝钢新世纪学校,上海市宝钢新,宝山区
569,上海市朱行中学,上海市朱行中,金山区
553,上海浦东新区民办惠立学校,上海浦东新区,浦东新区
632,上海市青浦区沈巷中学,上海市青浦区,青浦区
69,民办永昌学校,民办永昌学校,黄浦区
118,华东政法大学附属中学,华东政法大学,长宁区
728,上海市崇明区横沙中学,,崇明区
709,上海市崇明区横沙中学,上海市崇明区,崇明区
91,上海市徐汇中学,上海市徐汇中,徐汇区
524,上海市进才实验中学,上海市进才实,浦东新区
628,上海市青浦区豫才中学,上海市青浦区,青浦区
244,上海民办兰生中学,上海民办兰生,杨浦区
732,上海市实验学校附属东滩学校,,崇明区
712,上海市实验学校附属东滩学校,上海市实验学,崇明区
239,上海理工大学附属实验初级中学,上海理工大学,杨浦区
190,上海市江宁学校,上海市江宁学,普陀区
332,上海市长江第二中学,上海市长江第,宝山区
58,交附黄浦实验,交附黄浦实验,黄浦区
100,上海民办南模中学,上海民办南模,徐汇区
351,上海市同洲模范学校,上海市同洲模,宝山区
436,上海市罗山中学,上海市罗山中,浦东新区
252,上海杨浦双语学校,上海杨浦双语,杨浦区
173,上海市晋元高级中学附属学校南校,上海市晋元高,普陀区
66,市南中学,市南中学,黄浦区
672,上海市奉贤区新寺学校,上海市奉贤区,奉贤区
537,上海市周浦育才学校,上海市周浦育,浦东新区
690,上海奉贤区世外教育附属临港外国语学校,上海奉贤区世,奉贤区
627,上海市青浦区重固中学,上海市青浦区,青浦区
70,康德双语实验学校,康德双语实验,黄浦区
374,上海大学附属宝山外国语学校,上海大学附属,宝山区
62,民办震旦外国语,民办震旦外国,黄浦区
723,上海师范大学附属崇明正大中学,,崇明区
703,上海师范大学附属崇明正大中学,上海师范大学,崇明区
731,上海市崇明区新海学校,,崇明区
711,上海市崇明区新海学校,上海市崇明区,崇明区
432,上海交通大学附属浦东实验中学北校,上海交通大学,浦东新区
297,上海市莘光学校,上海市莘光学,闵行区
163,上海师范大学附属第二实验学校,上海师范大学,普陀区
319,上海民办圣华紫竹双语学校,上海民办圣华,闵行区
687,上海市奉贤区五四学校,上海市奉贤区,奉贤区
608,上海戏剧学院附属松江实验学校,上海戏剧学院,松江区
483,上海市浦东新区进才中学南校,上海市浦东新,浦东新区
179,上海市铜川学校,上海市铜川学,普陀区
313,上海市民办万源城协和双语学校,上海市民办万,闵行区
